Гос. знак,"Марка, модель",VIN,Собственник,Топливо,Спец техника,Объем топливного бака,Норма расхода
К337ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001214,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К165ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001083,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К298ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH000982,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т103ХР799,MITSUBISHI L 200 2.4,MMCJJKL10MH001747,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т015ХР799,MITSUBISHI L 200 2.4,MMCJJKJ10MH001756,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К583РЕ799,MITSUBISHI L 200 2.4,MMCJJKL10KH019975,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н412РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018770,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
В075ХС799,MITSUBISHI L 200 2.4,MMCJJKL10MH001124,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О440СХ799,Nissan X-Trail,Z8NTANT32ES114439,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
E327HH198,Nissan X-Trail,Z8NTANT32ES108895,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В665РМ763,Nissan X-Trail,Z8NTANT32ES108813,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н083АМ193,Nissan X-Trail,Z8NTANT32ES108814,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н058АМ193,Nissan X-Trail,Z8NTANT32ES108815,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В623МВ763,Renault Arkana,X7LRJC4D563932394,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
Н629ВН761,Renault Arkana,X7LRJC4D067069660,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B270XC799,Renault Duster (2.0),X7LHSRHGN66738595,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B168XC799,Renault Duster (2.0),X7LHSRHGN66738733,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B284XC799,Renault Duster (2.0),X7LHSRHGN66738706,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К760ТК198,Renault Duster (2.0),X7LHSRHGN66738760,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К719ТК198,Renault Duster (2.0),X7LHSRHGN66738763,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К774ТК198,Renault Duster (2.0),X7LHSRHGN66738773,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К819ТК198,Renault Duster (2.0),X7LHSRHGN66738745,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B712YM763,Kia Sportage,XWEPH81ADM0050091,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,62,10
